"","TLI3","TLI5","TLI7","TLI6","TLI4","TLD3","TLD7","TLE3","TLC4","TLG3","TLE4","TLC3","TLD6","TLD4","TLE1","TLE2","TLF1","TLF2","TLG1","TLG2","TLK5","TLK6","TLK4","TLK7","TLH4","TLH2","TLH3","TLJ4","TLJ1","TLJ2","TLJ3","TLK3","TLD1","TLF3","TLH5","TLH6","TLL3","TLL4","TLL5","TLN0"
"RQ3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RRK",0,0,0,0,0,0,0,0,0,0.398652293115989,0,0,0,0,0,0.000126612132421395,0.000179695774123343,0.000430164326115822,0.0530862676716398,0.0638309008961854,0,2.839018412685e-05,6.6765559585266e-05,0.000466574058785302,0,0,1.73712287622719e-05,0,0,0,7.63978070191395e-05,0,0,0,0,0,NA,NA,NA,NA
"RBK",0,0,0,0,0,0,0,0,0,0.084267676296697,0,0,0,0,0,0,0,0,0,0.0226912552712615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RKB",0,0,0,0,0,0,0,0,0,0.132951862282485,0,0,0,0,0,0,0,0.0234160953894965,0.148907355732777,0.000569457048244931,0,0,0,0.000169663294103746,0,0,0,0,4.60687431757983e-05,0,0,0,0,0,0,0,NA,NA,NA,NA
"RL4",0,0,0,0,0,0,0,0,0,0.110178115150046,0,0,0,0,0,0,0,0,0.000508046492375094,0.0710862755806349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RWP",0,0,0,0,0,0,0,0,0,0.00136673070108361,0,0,0,0,0,0,0,0,0.389703795122601,0.00422962173043051,0,0,0,0.00124293511439396,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RNA",0,0,0,0,0,0,0,0,0,0.114354775537609,0,0,0,0,0,0,0,0,0.00986558956729588,0.0132526465878928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RJC",0,0,0,0,0,0,0,0,0,0.00616632784378089,0,0,0,0,0,0,0,0.000229012354965807,0.163952877157572,0,0,0,0,0.00203974665634548,0,0,0,0,0.00019245540373441,0,0,0,0,0,0,0,NA,NA,NA,NA
"RLT",0,0,0,0,0,0,0,0,0,0.00130033384933883,0,0,0,0,0,0,0,0.0146941236321248,0.0783172031122438,0.000517114927531388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RWE",0,0,0,0,0,0,0,0,0,2.94682656620102e-05,0,0,0,0,0,0,0.00120992051022427,0.496515501796159,0.00234894989697521,0.00013432375556608,0,0,0,0,0.00154895199343916,0,0,0,0,0,0,0,0,0.00588094356472305,0,0,NA,NA,NA,NA
"RXW",0,0,0,0,0,0,0,0,0,0.000282373127925844,0,0,0.000355084905745184,0,0,0,0,0,0.00037338356668531,0.2794451230702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RJE",0,0,0,0,0,0,0,0,0,0.00017121435365649,0,0,0.027548296041927,0,0,0,0.000448773902214774,0.000108098289205271,0,0.41533031346624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RCD",0,0,0,0,0,0,0,0,0,0,0.0125858739788049,0,0,0,0,0.168217872171398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RCF",0,0,0,0,0,0,0,0,0,0,0.0502763947982508,0,0,0.0155043316704786,0,0.0529859361229379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RBT",0,0,0,0,0,0,0,0,0,0,0,0,0.294181102291421,0,0,0,0,0,0,0.00249287232747753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RTX",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987316004828613,0,0.00748997653951664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338604773738468,0,0,0,NA,NA,NA,NA
"RX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363882080467395,0.020844581963299,0,0.000973689570863979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335717475114896,0,0,NA,NA,NA,NA
"RNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161360099361273,0,0,0,0,0,0,0.000882160404747361,0.000454349347145255,0,0,2.88467831100793e-05,0,0,0,0,0.000234148678965825,0,0,NA,NA,NA,NA
"RGN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207643440579095,0,0,0,0,0,0,0.494727722712041,0.00164862309234748,0,0,0,0,0,0,0,0.128501339548256,0.000732165178269247,0,NA,NA,NA,NA
"RNS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203218654421471,0.000278507414494781,0,0,0,0,0,0,0.000469438439854877,0,0,0.00227243763067162,0,0,0,0,0,0,0,NA,NA,NA,NA
"RK5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152159026104768,4.34621987526349e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285198536298491,0,0,NA,NA,NA,NA
"RLQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130704141726608,0.00658375590661913,0,0,0,0.000931633266730391,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
